[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,18,1.0]
[1][3,(0, 1),0,E,1,17,0.5]
[3][6,(0, 2),1,E,2,16,0.3333333333333333]
[6][10,(0, 3),3,E,3,15,0.25]
[9][14,(0, 4),6,E,4,14,0.2]
[12][15,(0, 5),9,E,5,13,0.16666666666666666]
[15][16,(0, 6),12,E,6,12,0.14285714285714285]
[18][17,(0, 7),15,E,7,11,0.125]
[21][18,(0, 8),18,E,8,10,0.1111111111111111]
[24][20,(0, 9),21,E,9,9,0.1]
[27][23,(1, 9),24,S,10,8,0.09090909090909091]
[31][25,(1, 8),27,O,11,9,0.08333333333333333]
[35][26,(1, 7),31,O,12,10,0.07692307692307693]
[38][27,(2, 7),35,S,13,9,0.07142857142857142]
[40][28,(2, 6),38,O,14,10,0.06666666666666667]
[41][31,(1, 6),40,N,15,11,0.0625]
[47][32,(1, 5),41,O,16,12,0.058823529411764705]
[50][34,(2, 5),47,S,17,11,0.05555555555555555]
[59][35,(2, 4),50,O,18,12,0.05263157894736842]
[61][39,(3, 4),59,S,19,11,0.05]
[63][40,(3, 5),61,E,20,10,0.047619047619047616]
[65][41,(3, 6),63,E,21,9,0.045454545454545456]
[69][43,(3, 7),65,E,22,8,0.043478260869565216]
[71][46,(4, 7),69,S,23,7,0.041666666666666664]
[76][48,(4, 6),71,O,24,8,0.04]
[79][52,(4, 5),76,O,25,9,0.038461538461538464]
[83][55,(4, 4),79,O,26,10,0.037037037037037035]
[87][57,(4, 3),83,O,27,11,0.03571428571428571]
[88][59,(3, 3),87,N,28,12,0.034482758620689655]
[91][60,(2, 3),88,N,29,13,0.03333333333333333]
[95][61,(2, 2),91,O,30,14,0.03225806451612903]
[97][62,(3, 2),95,S,31,13,0.03125]
[101][63,(3, 1),97,O,32,14,0.030303030303030304]
[102][64,(2, 1),101,N,33,15,0.029411764705882353]
[105][67,(1, 1),102,N,34,16,0.02857142857142857]
[111][70,(1, 0),105,O,35,17,0.027777777777777776]
[114][71,(2, 0),111,S,36,16,0.02702702702702703]
[117][74,(3, 0),114,S,37,15,0.02631578947368421]
[119][75,(4, 0),117,S,38,14,0.02564102564102564]
[121][76,(4, 1),119,E,39,13,0.025]
[125][77,(5, 1),121,S,40,12,0.024390243902439025]
[132][78,(5, 0),125,O,41,13,0.023809523809523808]
[135][79,(6, 0),132,S,42,12,0.023255813953488372]
[137][82,(7, 0),135,S,43,11,0.022727272727272728]
[139][83,(7, 1),137,E,44,10,0.022222222222222223]
[141][86,(6, 1),139,N,45,11,0.021739130434782608]
[146][90,(6, 2),141,E,46,10,0.02127659574468085]
[148][91,(7, 2),146,S,47,9,0.020833333333333332]
[151][92,(7, 3),148,E,48,8,0.02040816326530612]
[154][94,(6, 3),151,N,49,9,0.02]
[158][97,(6, 4),154,E,50,8,0.0196078431372549]
[160][99,(5, 4),158,N,51,9,0.019230769230769232]
[165][102,(5, 5),160,E,52,8,0.018867924528301886]
[171][105,(5, 6),165,E,53,7,0.018518518518518517]
[175][108,(5, 7),171,E,54,6,0.01818181818181818]
[179][109,(5, 8),175,E,55,5,0.017857142857142856]
[182][110,(4, 8),179,N,56,6,0.017543859649122806]
[186][111,(3, 8),182,N,57,7,0.017241379310344827]
[189][112,(2, 8),186,N,58,8,0.01694915254237288]
[193][113,(2, 9),189,E,59,7,0.016666666666666666]
[196][116,(3, 9),193,S,60,6,0.01639344262295082]
[199][117,(4, 9),196,S,61,5,0.016129032258064516]
[202][120,(5, 9),199,S,62,4,0.015873015873015872]
[204][121,(6, 9),202,S,63,3,0.015625]
[207][123,(6, 8),204,O,64,4,0.015384615384615385]
[210][124,(6, 7),207,O,65,5,0.015151515151515152]
[213][125,(7, 7),210,S,66,4,0.014925373134328358]
[217][126,(7, 6),213,O,67,5,0.014705882352941176]
[218][128,(6, 6),217,N,68,6,0.014492753623188406]
[224][132,(6, 5),218,O,69,7,0.014285714285714285]
[227][135,(7, 5),224,S,70,6,0.014084507042253521]
[231][138,(7, 4),227,O,71,7,0.013888888888888888]
[234][140,(8, 4),231,S,72,6,0.0136986301369863]
[238][143,(8, 3),234,O,73,7,0.013513513513513514]
[242][146,(8, 2),238,O,74,8,0.013333333333333334]
[246][147,(8, 1),242,O,75,9,0.013157894736842105]
[250][150,(8, 0),246,O,76,10,0.012987012987012988]
[253][151,(9, 0),250,S,77,9,0.01282051282051282]
[255][152,(9, 1),253,E,78,8,0.012658227848101266]
[257][154,(9, 2),255,E,79,7,0.0125]
[260][155,(9, 3),257,E,80,6,0.012345679012345678]
[263][156,(9, 4),260,E,81,5,0.012195121951219513]
[265][157,(9, 5),263,E,82,4,0.012048192771084338]
[267][160,(8, 5),265,N,83,5,0.011904761904761904]
[270][163,(8, 6),267,E,84,4,0.011764705882352941]
[274][166,(8, 7),270,E,85,3,0.011627906976744186]
[278][168,(8, 8),274,E,86,2,0.011494252873563218]
[281][170,(8, 9),278,E,87,1,0.011363636363636364]
[286][173,(9, 9),281,S,88,0,0.011235955056179775]
